Name,Party
Rep. Jamie Raskin,Democrat
Rep. Josh Riley,Democrat
Rep. Luz Rivas,Democrat
Rep. Harold Rogers,Republican
Rep. Mike Rogers,Republican
Rep. John Rose,Republican
Rep. Deborah Ross,Democrat
Rep. David Rouzer,Republican
Rep. Chip Roy,Republican
Rep. Raul Ruiz,Democrat
Rep. Michael A. Rulli,Republican
Rep. John Rutherford,Republican
Rep. Patrick Ryan,Democrat
Rep. Maria Salazar,Republican
Rep. Andrea Salinas,Democrat
Rep. Linda Sanchez,Democrat
Rep. Steve Scalise,Republican
Rep. Mary Gay Scanlon,Democrat
Rep. Brian Schatz,Democrat
Rep. Derek Schmidt,Republican
Rep. Bradley Schneider,Democrat
Rep. Hillary Scholten,Democrat
Rep. Kim Schrier,Democrat
Rep. Austin Scott,Republican
Rep. David Scott,Democrat
Rep. Robert Scott,Democrat
Rep. Keith Self,Republican
Rep. Pete Sessions,Republican
Rep. Terri Sewell,Democrat
Rep. Mikie Sherrill,Democrat
Rep. Brad Sherman,Democrat
Rep. Jefferson Shreve,Republican
Rep. Heath Shuler,Democrat
Rep. Lateefah Simon,Democrat
Rep. Michael Simpson,Republican
Rep. Adrian Smith,Republican
Rep. Adam Smith,Democrat
Rep. Christopher Smith,Republican
Rep. Jason Smith,Republican
Rep. Lloyd Smucker,Republican
Rep. Eric Sorensen,Democrat
Rep. Darren Soto,Democrat
Rep. Victoria Spartz,Republican
Rep. Melanie Stansbury,Democrat
Rep. Greg Stanton,Democrat
Rep. Pete Stauber,Republican
Rep. Elise Stefanik,Republican
Rep. Bryan Steil,Republican
Rep. W. Steube,Republican
Rep. Haley Stevens,Democrat
Rep. Marilyn Strickland,Democrat
Rep. Dale Strong,Republican
Rep. Marlin Stutzman,Republican
Rep. Suhas Subramanyam,Democrat
Rep. Thomas R. Suozzi,Democrat
Rep. Eric Swalwell,Democrat
Rep. Emilia Sykes,Democrat
Rep. Mark Takano,Democrat
Rep. David Taylor,Republican
Rep. Claudia Tenney,Republican
Rep. Shri Thanedar,Democrat
Rep. Bennie Thompson,Democrat
Rep. Glenn Thompson,Republican
Rep. Mike Thompson,Democrat
Rep. Thomas Tiffany,Republican
Rep. William Timmons,Republican
Rep. Dina Titus,Democrat
Rep. Rashida Tlaib,Democrat
Rep. Jill Tokuda,Democrat
Rep. Paul Tonko,Democrat
Rep. Norma Torres,Democrat
Rep. Ritchie Torres,Democrat
Rep. Derek Tran,Democrat
Rep. Lori Trahan,Democrat
Rep. Michael Turner,Republican
Rep. Lauren Underwood,Democrat
Rep. Jefferson Van Drew,Republican
Rep. Beth Van Duyne,Republican
Rep. Matt Van Epps,Republican
Rep. Derrick Van Orden,Republican
